,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
824,"Natsu e no Tunnel, Sayonara no Deguchi",Movie,Light novel,1.0,Finished Airing,2022-09-09,,82,PG-13 - Teens 13 or older,7.88,45053,809.0,1644,135816,1484,,,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']",[],[]
825,Boku no Hero Academia 4th Season,TV,Manga,25.0,Finished Airing,2019-10-12,2020-04-04,24,PG-13 - Teens 13 or older,7.88,1068392,802.0,55,1707128,8173,fall,2019.0,['Action'],"['School', 'Super Power']",['Shounen']
826,ef: A Tale of Memories.,TV,Visual novel,12.0,Finished Airing,2007-10-07,2007-12-23,24,PG-13 - Teens 13 or older,7.88,107733,804.0,936,255310,2779,fall,2007.0,"['Drama', 'Mystery', 'Romance']",[],[]
827,Tennis no Oujisama: Zenkoku Taikai-hen,OVA,Manga,13.0,Finished Airing,2006-03-24,2007-03-23,23,PG-13 - Teens 13 or older,7.88,25310,789.0,3206,46190,65,,,['Sports'],[],['Shounen']
828,Quanzhi Gaoshou 2,ONA,Novel,12.0,Finished Airing,2020-09-25,2020-12-04,24,PG-13 - Teens 13 or older,7.88,43661,812.0,1825,117778,556,,,['Action'],['Video Game'],[]
829,Yuusha,Music,Original,1.0,Finished Airing,2023-09-29,,3,PG-13 - Teens 13 or older,7.87,3643,,7557,6432,27,,,[],['Music'],[]
830,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,TV,Manga,12.0,Finished Airing,2023-07-09,2023-12-26,24,R - 17+ (violence & profanity),7.87,203429,827.0,448,492389,3751,summer,2023.0,"['Action', 'Comedy', 'Horror', 'Supernatural', 'Suspense']","['Adult Cast', 'Survival']",['Seinen']
831,Kidou Senshi Gundam: Suisei no Majo - Prologue,Special,Original,1.0,Finished Airing,2022-07-14,,24,R - 17+ (violence & profanity),7.87,30206,817.0,3248,45206,70,,,"['Action', 'Sci-Fi']","['Mecha', 'Space']",[]
832,Cool Doji Danshi,TV,Web manga,24.0,Finished Airing,2022-10-11,2023-03-28,11,PG-13 - Teens 13 or older,7.87,25823,830.0,2198,89757,985,fall,2022.0,['Slice of Life'],['Iyashikei'],[]
833,Carnival Phantasm,OVA,Manga,12.0,Finished Airing,2011-08-14,2011-12-31,14,PG-13 - Teens 13 or older,7.87,96309,829.0,1202,196839,1604,,,"['Comedy', 'Supernatural']",['Parody'],[]
834,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,Manga,1.0,Finished Airing,2012-06-23,,92,R+ - Mild Nudity,7.87,137309,828.0,1125,212304,710,,,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military']",['Seinen']
835,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Movie,Manga,1.0,Finished Airing,2018-01-13,,120,R - 17+ (violence & profanity),7.87,22341,822.0,2539,70937,93,,,"['Action', 'Drama', 'Suspense']","['Gore', 'Survival']",['Shounen']
836,Quanzhi Gaoshou,ONA,Novel,12.0,Finished Airing,2017-04-07,2017-06-16,23,PG-13 - Teens 13 or older,7.87,174905,822.0,631,367457,3952,,,['Action'],['Video Game'],[]
837,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie,Original,1.0,Finished Airing,2010-01-23,,130,R+ - Mild Nudity,7.87,15296,818.0,3950,31220,196,,,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",['Mahou Shoujo'],[]
838,Kami nomi zo Shiru Sekai II,TV,Manga,12.0,Finished Airing,2011-04-12,2011-06-28,23,PG-13 - Teens 13 or older,7.87,239809,815.0,588,389084,1021,spring,2011.0,"['Comedy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture']",['Shounen']
839,Terra e... (TV),TV,Manga,24.0,Finished Airing,2007-04-07,2007-09-22,24,PG-13 - Teens 13 or older,7.87,18584,824.0,2753,61773,853,spring,2007.0,"['Action', 'Drama', 'Sci-Fi']","['Military', 'Space']",['Shounen']
840,Zan Sayonara Zetsubou Sensei,TV,Manga,13.0,Finished Airing,2009-07-05,2009-09-27,23,R - 17+ (violence & profanity),7.87,40943,826.0,1954,107177,240,summer,2009.0,['Comedy'],"['Gag Humor', 'Parody', 'School']",['Shounen']
841,Tonikaku Kawaii,TV,Manga,12.0,Finished Airing,2020-10-03,2020-12-19,23,PG-13 - Teens 13 or older,7.87,415646,817.0,265,734067,10025,fall,2020.0,"['Comedy', 'Romance']",[],['Shounen']
842,Osomatsu-san Movie,Movie,Manga,1.0,Finished Airing,2019-03-15,,108,R - 17+ (violence & profanity),7.87,6277,820.0,5350,15144,80,,,['Comedy'],"['Gag Humor', 'Parody']",[]
843,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,Novel,1.0,Finished Airing,1988-02-06,,59,R+ - Mild Nudity,7.87,22363,832.0,3518,39164,61,,,"['Action', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[]
844,Musekinin Kanchou Tylor,TV,Light novel,26.0,Finished Airing,1993-01-25,1993-07-19,23,PG-13 - Teens 13 or older,7.87,16249,820.0,3087,49634,584,winter,1993.0,"['Comedy', 'Sci-Fi']","['Adult Cast', 'Military', 'Parody', 'Space']",[]
845,Boku no Hero Academia,TV,Manga,13.0,Finished Airing,2016-04-03,2016-06-26,24,PG-13 - Teens 13 or older,7.87,2049695,828.0,6,2994532,53530,spring,2016.0,['Action'],"['School', 'Super Power']",['Shounen']
846,Machikado Mazoku: 2-choume,TV,4-koma manga,12.0,Finished Airing,2022-04-08,2022-07-01,24,PG-13 - Teens 13 or older,7.87,23653,818.0,2629,66731,344,spring,2022.0,"['Comedy', 'Fantasy']","['CGDCT', 'Mahou Shoujo', 'School']",[]
847,Douluo Dalu,ONA,Novel,26.0,Finished Airing,2018-01-20,2018-07-14,20,PG-13 - Teens 13 or older,7.87,11563,831.0,4100,28615,548,,,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Martial Arts', 'Reincarnation']",[]
848,Uma Musume: Pretty Derby - Road to the Top,ONA,Game,4.0,Finished Airing,2023-04-16,2023-05-07,25,PG-13 - Teens 13 or older,7.86,5194,852.0,5922,11706,78,,,['Sports'],"['Anthropomorphic', 'Racing']",[]
849,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,Manga,13.0,Finished Airing,2018-04-08,2018-07-01,23,PG-13 - Teens 13 or older,7.86,11850,839.0,4078,28963,49,spring,2018.0,"['Comedy', 'Fantasy']",['Mythology'],['Seinen']
850,New Initial D Movie: Legend 3 - Mugen,Movie,Manga,1.0,Finished Airing,2016-02-06,,60,PG-13 - Teens 13 or older,7.86,12911,845.0,4152,27813,57,,,[],['Racing'],['Seinen']
851,Magic Kaito 1412,TV,Manga,24.0,Finished Airing,2014-10-04,2015-03-28,24,PG-13 - Teens 13 or older,7.86,57305,846.0,1755,124349,1090,fall,2014.0,"['Adventure', 'Comedy', 'Romance']",[],['Shounen']
852,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,TV Special,Manga,1.0,Finished Airing,2017-08-26,,106,PG-13 - Teens 13 or older,7.86,21752,847.0,3420,41247,26,,,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
853,High☆Speed! Movie: Free! Starting Days,Movie,Light novel,1.0,Finished Airing,2015-12-05,,110,PG-13 - Teens 13 or older,7.86,42368,837.0,2161,92602,276,,,"['Drama', 'Sports']",['School'],[]
854,Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA,Manga,1.0,Finished Airing,2016-09-23,,24,PG-13 - Teens 13 or older,7.86,25006,846.0,3091,49550,38,,,['Slice of Life'],"['CGDCT', 'Iyashikei', 'School']",['Seinen']
855,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,OVA,Light novel,1.0,Finished Airing,2009-04-30,,23,PG-13 - Teens 13 or older,7.86,91904,848.0,1369,169096,303,,,"['Adventure', 'Fantasy', 'Romance']",['Adult Cast'],[]
856,K-On!,TV,4-koma manga,13.0,Finished Airing,2009-04-03,2009-06-26,24,PG-13 - Teens 13 or older,7.86,570869,841.0,143,1045264,23984,spring,2009.0,['Comedy'],"['CGDCT', 'Music', 'School']",[]
857,Carole & Tuesday,TV,Original,24.0,Finished Airing,2019-04-11,2019-10-03,22,PG-13 - Teens 13 or older,7.86,143509,834.0,724,326251,2973,spring,2019.0,"['Drama', 'Sci-Fi']",['Music'],[]
